Year     ,GDP  ,Agriculture,Industry,Service,Mining &Querying,Manufacturing
1980-81  ,7.17 ,12.89      ,5.24    ,4.62   ,0.83            ,10.54
1981-82  ,5.63 ,4.6        ,8.01    ,5.19   ,0.77            ,10.91
1982-83  ,2.92 ,           ,1.42    ,7.13   ,0.79            ,11.04
1983-84  ,     ,10.12      ,7.88    ,5.72   ,0.85            ,12.05
1984-85  ,3.96 ,1.59       ,4.08    ,6.1    ,0.95            ,12.09
1985-86  ,4.16 ,0.31       ,4.38    ,7.67   ,0.87            ,12.16
1986-87  ,4.31 ,-0.41      ,5.76    ,7.59   ,0.86            ,12.19
1987-88  ,3.53 ,-1.59      ,5.57    ,6.35   ,1.04            ,12.43
1988-89  ,10.16,15.64      ,9.1     ,6.95   ,0.99            ,12.66
1989-90  ,6.13 ,1.19       ,8.3     ,8.88   ,1.06            ,12.75
1990-91  ,5.29 ,4.02       ,7.33    ,5.19   ,0.96            ,12.89
1991-92  ,1.43 ,-1.95      ,0.34    ,4.69   ,2.13            ,12.89
1992-93  ,5.36 ,6.65       ,3.22    ,5.69   ,1.07            ,13.36
1993-94  ,5.68 ,3.32       ,5.5     ,7.38   ,1.05            ,13.67
1994-95  ,6.39 ,4.72       ,9.16    ,5.84   ,1.05            ,13.7
1995-96  ,7.29 ,-0.7       ,11.29   ,10.11  ,1.04            ,13.71
1996-97  ,7.97 ,9.92       ,6.39    ,7.53   ,                ,13.97
1997-98  ,4.3  ,-2.55      ,4.01    ,8.93   ,2.37            ,14.07
1998-99  ,6.68 ,6.32       ,4.15    ,8.28   ,1.1             ,14.23
1999-2000,8    ,2.67       ,5.96    ,12.05  ,0.94            ,14.25
2000-01  ,4.15 ,-0.01      ,6.03    ,5.07   ,1.03            ,14.29
2001-02  ,5.39 ,6.01       ,2.61    ,6.61   ,1.04            ,14.33
2002-03  ,3.88 ,-6.6       ,7.21    ,6.74   ,1.01            ,14.44
2003-04  ,7.97 ,9.05       ,7.32    ,7.89   ,2.25            ,14.6
2004-05  ,7.05 ,0.18       ,9.81    ,8.28   ,2.21            ,14.64
2005-06  ,9.48 ,5.14       ,9.72    ,10.91  ,2.65            ,14.73
2006-07  ,9.57 ,4.16       ,12.17   ,10.06  ,2.83            ,14.8
2007-08  ,9.32 ,5.8        ,9.67    ,10.27  ,1.11            ,14.85
2008-09  ,6.72 ,0.09       ,4.44    ,9.98   ,2.69            ,14.87
2009-10  ,8.59 ,0.81       ,9.16    ,10.5   ,1.17            ,14.88
2010-11  ,9.32 ,7.94       ,9.16    ,9.75   ,2.44            ,14.9
2011-12  ,6.21 ,3.65       ,3.49    ,8.2    ,2.16            ,15
2012-13  ,4.99 ,1.91       ,2.08    ,7.11   ,2.61            ,15.1
2013-14  ,4.7  ,2.1        ,0.18    ,8.28   ,2.47            ,15.21
2014-15  ,5.4  ,1.5        ,3.8     ,10.06  ,1.37            ,15.24
